BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,07/02/2018,1
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,25/01/2018,1
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,09/11/2018,20
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,24/08/2018,10
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,08/06/2018,10
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,14/06/2018,3
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,15/01/2018,9
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,03/01/2018,65
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,24/09/2018,40
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,04/12/2018,12
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,13/02/2018,320
28,Sydney City Ocean Beaches,Randwick Council,Malabar Beach,151.252247,-33.96436,03/04/2018,130
