Date,temp_airport
2015-04-14,23.3
2015-04-15,26.7
2015-04-16,32.6
2015-04-17,25.2
2015-04-18,29.4
2015-04-19,21.9
2015-04-20,17.2
2015-04-21,18
2015-04-22,18.8
2015-04-23,21.2
2015-04-24,27.9
2015-04-25,24.6
2015-04-26,17.5
2015-04-27,18.2
2015-04-28,18.6
2015-04-29,18.4
2015-04-30,19.4
2015-05-01,21.7
2015-05-02,23.6
2015-05-03,20.6
2015-05-04,20.9
2015-05-05,28.6
2015-05-06,21.5
2015-05-07,20.9
2015-05-08,21.4
2015-05-09,22.2
2015-05-10,22
2015-05-11,22.2
2015-05-12,23.5
2015-05-13,17.4
2015-05-14,18.2
2015-05-15,17.9
2015-05-16,18.3
2015-05-17,19.2
2015-05-18,19
2015-05-19,22.5
2015-05-20,25.4
2015-05-21,20.7
2015-05-22,17.4
2015-05-23,16.9
2015-05-24,18.6
2015-05-25,19.7
2015-05-26,18.8
2015-05-27,22.3
2015-05-28,23.1
2015-05-29,21.1
2015-05-30,19.1
2015-05-31,16.5
2015-06-01,14.6
2015-06-02,14.8
2015-06-03,16.5
2015-06-04,19.3
2015-06-05,16.9
2015-06-06,21
2015-06-07,22.3
2015-06-08,23.6
2015-06-09,23.3
2015-06-10,15.2
2015-06-11,17
2015-06-12,19.1
2015-06-13,20.3
2015-06-14,19.7
2015-06-15,18.6
2015-06-16,17.9
2015-06-17,18.3
2015-06-18,17.4
2015-06-19,14.1
2015-06-20,14.8
2015-06-21,13.9
2015-06-22,19.3
2015-06-23,20.6
2015-06-24,21.9
2015-06-25,18.3
2015-06-26,17.9
2015-06-27,19.7
2015-06-28,17.6
2015-06-29,19
2015-06-30,20.3
2015-07-01,17.9
2015-07-02,17.2
2015-07-03,14.1
2015-07-04,16.4
2015-07-05,18.5
2015-07-06,17.4
2015-07-07,14.2
2015-07-08,14.6
2015-07-09,17.4
2015-07-10,15.9
2015-07-11,20
2015-07-12,15.4
2015-07-13,17.7
2015-07-14,18
2015-07-15,16.1
2015-07-16,13.4
2015-07-17,13.8
2015-07-18,13.3
2015-07-19,14.5
2015-07-20,15.6
2015-07-21,20.1
2015-07-22,18.5
2015-07-23,16.2
2015-07-24,20.8
2015-07-25,21.6
2015-07-26,21.6
2015-07-27,16.1
2015-07-28,17.3
2015-07-29,17
2015-07-30,20.7
2015-07-31,21.5
2015-08-01,23.3
2015-08-02,25.2
