"sort_number","site","Genus_species","Family","growthform","height","loght","Country","Site","lat","long","entered.by","alt","temp","diurn.temp","isotherm","temp.seas","temp.max.warm","temp.min.cold","temp.ann.range","temp.mean.wetqr","temp.mean.dryqr","temp.mean.warmqr","temp.mean.coldqr","rain","rain.wetm","rain.drym","rain.seas","rain.wetqr","rain.dryqr","rain.warmqr","rain.coldqr","LAI","NPP","hemisphere"
2472,81,"Alpinia_vitiensis","Zingiberaceae","Herb",2,0.301029996,"Fiji","abt",17.081,179.069,"Laura",2,25.4,6.2,6.5,1.1,30.4,20.9,9.5,26.8,23.9,26.8,23.9,2494,362,88,44,1003,298,1003,298,4.26,1886,-1
23955,73,"Polytrias_amaura","Poaceae","Herb",0.25,-0.602059991,"Fiji","ab",17.667,178.167,"Laura",312,23.5,6.3,6.2,1.3,28.9,18.8,10.1,25.1,21.7,25.1,21.7,2814,379,126,35,1027,413,1027,413,4.26,1795,-1
19370,163,"Maianthemum_sp","Ruscaceae","Herb",0.3,-0.522878745,"USA","Jasper Ridge - Oak forest",37.4,-122.236,"Angela",84,13.8,11.2,5.5,3.3,24.1,4,20.1,9.6,17.7,18,9.6,603,121,2,86,313,9,13,313,1.51,223,1
4583,111,"Berlinia_grandiflora","Fabaceae - C","Tree",35,1.544068044,"Republic of Congo","Congo - bai",2.16,16.153,"Angela",403,24.8,10.5,8,0.6,31.6,18.5,13.1,24.4,24.8,25.6,24.1,1649,224,43,40,603,177,352,504,4.26,1648,1
17453,80,"Kingiodendron_platycarpum","Fabaceae - C","Tree",35,1.544068044,"Fiji","aobt",17.231,178.998,"Laura",2,25.4,6.2,6.5,1.1,30.4,20.9,9.5,26.8,23.9,26.8,23.9,2494,362,88,44,1003,298,1003,298,4.26,1886,-1
31432,213,"Vaccinium_vitis-idaea","Ericaceae","Shrub",0.07,-1.15490196,"USA","Alaska - 12 Mile",65.391,-145.854,"Angela",966,-6.4,11.2,2.1,15.1,20.6,-31.4,52,12.7,-15,12.7,-25.5,244,45,7,59,122,28,122,38,2.07,192,1
3646,79,"Ascarina_swamyana","Chloranthaceae","Tree",10,1,"Fiji","at",17.329,178.983,"Laura",2,25.2,6.2,6.4,1.2,30.2,20.6,9.6,26.6,23.6,26.6,23.6,2576,375,96,42,1003,325,1003,325,4.5,1800,-1
16622,94,"Iriartea_deltoidea","Arecaceae","Tree",20,1.301029996,"Peru","Los Amigos floodplain",12.567,-70.093,"Angela",217,24.9,10.5,7.4,1,31.5,17.4,14.1,25.6,23.3,25.7,23.3,3273,471,113,46,1310,381,1001,381,4.26,1475,-1
24572,143,"Prosopis_velutina","Fabaceae - M","Shrub",4.5,0.653212514,"USA","Tucson - Sonoran desert",32.31,-110.739,"Angela",971,18.9,15.7,4.6,6.9,36.3,2.5,33.8,27.2,22.2,27.9,10.4,380,71,6,61,176,24,144,98,1.01,477,1
31240,203,"Ulmus_glabra","Ulmaceae","Tree",20,1.301029996,"Sweden","Stockholm",58.953,17.61,"Angela",10,7,6.5,2.4,7.1,21.8,-4.8,26.6,15.3,1,16.4,-1.7,508,61,24,28,172,81,162,112,2.79,533,1
30144,66,"Tapeinosperma_clavatum","Myrsinaceae","Shrub/Tree",10,1,"Fiji","ako",18.15,178.356,"Laura",13,24.8,6.3,6.1,1.4,30.2,19.9,10.3,26.1,23.1,26.4,22.9,2993,372,150,30,1025,468,969,483,4.51,1864,-1
25244,121,"Quararibea_asterolepis","Malvaceae","Tree",30,1.477121255,"Panama","Panama - BCI",9.15,-79.849,"Angela",165,26.5,6.8,7.3,0.7,31.4,22.2,9.2,25.8,26.6,27.5,25.6,2542,383,27,56,1004,132,397,975,4.51,2146,1
31431,211,"Vaccinium_vitis-idaea","Ericaceae","Shrub",0.15,-0.823908741,"USA","Alaska - Bonanza",64.769,-148.283,"Angela",382,-4.3,10.7,2.2,13.9,21,-27.1,48.1,13.2,-12.1,13.2,-21.9,296,57,7,68,157,28,157,41,2.51,363,1
24893,189,"Pseudotsuga_menziesii","Pinaceae","Tree",61,1.785329835,"USA","Oregon",44,-122,"Angela",1446,5,12.8,4.1,6.1,23.5,-7.3,30.8,-1.5,13.1,13.1,-2.1,1427,246,23,65,692,106,106,642,2.07,478,1
11463,77,"Endiandra_elaeocarpa","Lauraceae","Tree",25,1.397940009,"Fiji","aot",17.447,178.917,"Laura",97,24.6,6.2,6.3,1.2,29.8,20.1,9.7,26.1,23,26.1,23,2660,382,103,41,1023,345,1023,345,4.5,1800,-1
11715,38,"Eremaea_pauciflora","Myrtaceae","Shrub",1.1,0.041392685,"Australia","Perth - Melaleuca Park",31.689,115.886,"Angela",60,18.3,11.5,4.9,4.1,31.7,8.5,23.2,13.5,23.5,23.9,13.5,762,160,8,84,426,33,39,426,1.51,575,-1
27405,141,"Sarcopoterium_spinosum","Rosaceae","Shrub",0.45,-0.346787486,"Israel","Lehavim",31.356,34.835,"Angela",379,18.9,12,4.7,5,31.8,6.4,25.4,12.1,24.7,24.7,12.1,293,69,0,106,186,0,0,186,1.26,305,1
16438,179,"Impatiens_capensis","Balsaminaceae","Herb",3,0.477121255,"Rhode Island","USA",41.667,-71.25,"Angela",44,10.1,10,2.9,8.4,27.4,-6.5,33.9,1.8,18.3,20.9,-0.8,1176,117,81,11,332,256,262,311,3.39,1044,1
6851,222,"Cassiope_tetragona","Ericaceae","Shrub",0.08,-1.096910013,"Greenland","Zackenberg - hill",74.476,-20.629,"Angela",83,-11.1,7,2.1,9.3,6,-26.5,32.5,-4.3,-7.4,1.7,-21.4,252,27,11,22,76,40,60,68,2.6,4,1
28046,5,"Senecio_filaginoides","Asteraceae","Herb",0.6,-0.22184875,NA,"Patagonia",45.417,-70,"Angela",500,9.6,11.2,4.6,4.8,22.6,-1.3,23.9,3.9,15.6,15.6,3.3,174,23,7,35,65,25,25,57,2.42,505,-1
4917,37,"Bossiaea_eriocarpa","Fabaceae - P","Shrub",0.7,-0.15490196,"Australia","Perth - Darling Scarp",32.02,116.044,"Angela",209,17,11.2,4.6,4.5,31.2,7.2,24,11.7,22.7,23.1,11.7,1003,213,13,85,566,50,54,566,1.93,708,-1
26023,58,"Rhodanthe_floribunda","Asteraceae","Herb",0.2,-0.698970004,"Australia","Kunoth Paddock - Alice Springs",23.533,133.748,"Angela",713,20.4,16,4.8,6.1,36.3,3.1,33.2,26.6,14.2,27.5,12.1,310,41,11,42,121,40,121,46,1.01,605,-1
4101,14,"Austrocedrus_chilensis","Cupressaceae","Tree",35,1.544068044,"Argentina","Bariloche",41.242,-71.425,"Angela",1039,7,11.7,5.1,4.2,20.3,-2.6,22.9,1.7,12.4,12.4,1.7,972,175,28,56,443,106,106,443,4.14,691,-1
8205,78,"Claoxylon_vitiense","Euphorbiaceae","Shrub/Tree",8,0.903089987,"Fiji","abo",17.356,178.675,"Laura",3,25,6.3,6.4,1.2,30.2,20.4,9.8,26.5,23.4,26.5,23.4,2664,384,103,40,1011,349,1011,349,4.51,1864,-1
